Detector Descriptor ImageID lidarTTC cameraTTC TTC_Difference
ORB ORB 2 12.6142 10.6668 1.94748
ORB ORB 3 14.091 14.598 -0.507033
ORB ORB 4 16.6894 22.1695 -5.48013
ORB ORB 5 15.9082 37.4135 -21.5053
ORB ORB 6 12.6787 10.7977 1.88106
ORB ORB 7 11.9844 40.3549 -28.3706
ORB ORB 8 13.1241 10.9114 2.21268
ORB ORB 9 13.0241 18.651 -5.62688
ORB ORB 10 11.1746 14.6914 -3.51679
ORB ORB 11 12.8086 9.00578 3.80282
ORB ORB 12 8.95978 -inf inf
ORB ORB 13 9.96439 9.26406 0.700331
ORB ORB 14 9.59863 10.9931 -1.39446
ORB ORB 15 8.57352 12.9444 -4.37087
ORB ORB 16 9.51617 9.54136 -0.0251929
ORB ORB 17 9.54658 25.5645 -16.0179
ORB ORB 18 8.3988 23.3647 -14.9659
ORB FREAK 1 12.5156 11.9371 0.578477
ORB FREAK 2 12.6142 25.2016 -12.5873
ORB FREAK 3 14.091 17.7441 -3.65309
ORB FREAK 4 16.6894 11.2797 5.40971
ORB FREAK 5 15.9082 52.139 -36.2307
ORB FREAK 6 12.6787 35.7942 -23.1155
ORB FREAK 7 11.9844 127.591 -115.607
ORB FREAK 8 13.1241 9.38588 3.73824
ORB FREAK 9 13.0241 13.3292 -0.305034
ORB FREAK 10 11.1746 -inf inf
ORB FREAK 11 12.8086 8.34928 4.45932
ORB FREAK 12 8.95978 -inf inf
ORB FREAK 13 9.96439 7.03048 2.93391
ORB FREAK 14 9.59863 54.268 -44.6694
ORB FREAK 15 8.57352 8.72363 -0.150102
ORB FREAK 16 9.51617 11.1021 -1.5859
ORB FREAK 17 9.54658 -inf inf
ORB FREAK 18 8.3988 24.1855 -15.7867
AKAZE BRISK 1 12.5156 12.2899 0.225731
AKAZE BRISK 2 12.6142 14.7671 -2.15281
AKAZE BRISK 3 14.091 13.4585 0.632511
AKAZE BRISK 4 16.6894 14.2527 2.43668
AKAZE BRISK 5 15.9082 14.1246 1.78363
AKAZE BRISK 6 12.6787 15.0888 -2.4101
AKAZE BRISK 7 11.9844 15.9355 -3.95113
AKAZE BRISK 8 13.1241 14.3944 -1.27025
AKAZE BRISK 9 13.0241 14.0061 -0.981975
AKAZE BRISK 10 11.1746 11.5483 -0.373625
AKAZE BRISK 11 12.8086 12.3712 0.437424
AKAZE BRISK 12 8.95978 11.2959 -2.3361
AKAZE BRISK 13 9.96439 10.4393 -0.47486
AKAZE BRISK 14 9.59863 10.5414 -0.942721
AKAZE BRISK 15 8.57352 9.89194 -1.31841
AKAZE BRISK 16 9.51617 9.9933 -0.477133
AKAZE BRISK 17 9.54658 9.36522 0.181358
AKAZE BRISK 18 8.3988 8.98139 -0.582588
AKAZE BRIEF 1 12.5156 13.3581 -0.842517
AKAZE BRIEF 2 12.6142 15.1916 -2.57735
AKAZE BRIEF 3 14.091 13.1413 0.949734
AKAZE BRIEF 4 16.6894 14.5957 2.09369
AKAZE BRIEF 5 15.9082 15.6028 0.305402
AKAZE BRIEF 6 12.6787 13.6406 -0.961892
AKAZE BRIEF 7 11.9844 15.7351 -3.75075
AKAZE BRIEF 8 13.1241 14.4599 -1.33578
AKAZE BRIEF 9 13.0241 14.1122 -1.08807
AKAZE BRIEF 10 11.1746 11.8964 -0.721799
AKAZE BRIEF 11 12.8086 13.0259 -0.217345
AKAZE BRIEF 12 8.95978 12.1682 -3.2084
AKAZE BRIEF 13 9.96439 10.2486 -0.284185
AKAZE BRIEF 14 9.59863 10.1261 -0.527432
AKAZE BRIEF 15 8.57352 9.39056 -0.81704
AKAZE BRIEF 16 9.51617 10.1454 -0.629186
